qseqid; sseqid; pident; length; mismatch; gapopen; qstart; qend; sstart; send; evalue; bitscore;
BT_0152;NZ_DS499673.1 Bacteroides stercoris ATCC 43183 Scfld_02_12, whole genome shotgun sequence;67.181;259;85;0;14;272;206600;207376;8.30E-125;396;
BT_0152;NZ_DS996532.1 Parabacteroides johnsonii DSM 18315 Scfld194, whole genome shotgun sequence;65.863;249;81;1;16;264;832;98;4.14E-123;357;
BT_0152;NZ_DS264541.1 Parabacteroides merdae ATCC 43184 Scfld0281, whole genome shotgun sequence;65.863;249;81;1;16;264;313249;313983;6.39E-111;356;
BT_0152;NZ_DS264541.1 Parabacteroides merdae ATCC 43184 Scfld0281, whole genome shotgun sequence;28.044;271;174;7;16;270;27165;26368;2.55E-21;98.6;
BT_0152;NC_009615.1 Parabacteroides distasonis ATCC 8503, complete genome;64.683;252;86;1;21;272;3801181;3801927;6.78E-111;356;
BT_0152;NC_009615.1 Parabacteroides distasonis ATCC 8503, complete genome;24.815;270;163;6;24;271;2376805;2377560;4.43E-13;74.3;
BT_0152;NC_009615.1 Parabacteroides distasonis ATCC 8503, complete genome;25.564;266;150;8;30;271;3194728;3195453;1.96E-09;63.5;
BT_0152;NZ_DS995537.1 Bacteroides dorei DSM 17855 Scfld9, whole genome shotgun sequence;67.46;252;80;1;21;272;626439;627188;7.61E-111;356;
BT_0152;NZ_DS995537.1 Bacteroides dorei DSM 17855 Scfld9, whole genome shotgun sequence;54.98;251;110;2;21;271;1307660;1306917;6.76E-93;305;
BT_0152;NC_009614.1 Bacteroides vulgatus ATCC 8482, complete genome;66.667;252;82;1;21;272;3188040;3188789;5.11E-110;353;
BT_0152;NZ_EQ973651.1 Bacteroides coprophilus DSM 18228 = JCM 13818 strain DSM 18228 Scfld23, whole genome shotgun sequence;60.547;256;99;1;16;271;37045;36284;3.38E-104;337;
BT_0152;NZ_JH370371.1 Alistipes indistinctus YIT 12060 supercont1.1, whole genome shotgun sequence;51.273;275;114;4;18;272;55352;54528;3.50E-85;282;
BT_0152;NZ_JH370371.1 Alistipes indistinctus YIT 12060 supercont1.1, whole genome shotgun sequence;48.763;283;121;3;14;272;53842;52994;8.11E-85;281;
BT_0152;NZ_DS264554.1 Bacteroides ovatus ATCC 8483 Scfld021, whole genome shotgun sequence;29.617;287;163;10;14;270;368625;369458;1.09E-30;125;
BT_0152;NZ_DS264554.1 Bacteroides ovatus ATCC 8483 Scfld021, whole genome shotgun sequence;25.094;267;164;7;34;271;367145;367924;6.66E-19;91.7;
BT_0152;NZ_EQ973491.1 Bacteroides cellulosilyticus DSM 14838 Scfld5, whole genome shotgun sequence;28.727;275;174;5;16;272;776952;777764;4.95E-22;100;
BT_0152;NZ_ATFI01000009.1 Bacteroides cellulosilyticus WH2 BWH2c9, whole genome shotgun sequence;29.603;277;169;7;16;272;325798;324986;2.27E-21;99;
BT_0152;CVOZ01000033.1 Bacteroides thetaiotaomicron genome assembly 7330, contig 7330contig1.8, whole genome shotgun sequence;27.652;264;172;8;25;272;95366;94584;4.69E-19;92;
BT_0152;NZ_CVOY01000007.1 Bacteroides thetaiotaomicron isolate 3731, whole genome shotgun sequence;27.652;264;172;8;25;272;23183;22401;4.69E-19;92;
BT_0152;NZ_KB946519.1 Enterococcus faecalis EnGen0247 strain WH257 acvKu-supercont1.14, whole genome shotgun sequence;24.498;249;168;5;29;260;364107;364844;1.54E-18;90.5;
BT_0152;NZ_DS362239.1 Bacteroides uniformis ATCC 8492 Scfld_3.0.1_22, whole genome shotgun sequence;25.468;267;183;5;22;272;7728;6928;3.36E-18;89.4;
BT_0152;NZ_DS362239.1 Bacteroides uniformis ATCC 8492 Scfld_3.0.1_22, whole genome shotgun sequence;27.239;268;155;7;24;271;5192;4449;9.67E-14;76.3;
BT_0152;NZ_DS362239.1 Bacteroides uniformis ATCC 8492 Scfld_3.0.1_22, whole genome shotgun sequence;26.277;274;153;9;24;271;6443;5691;3.06E-10;65.9;
BT_0152;NZ_GG704769.1 Subdoligranulum variabile DSM 15176 Scfld0, whole genome shotgun sequence;27.189;217;136;6;57;259;177725;178351;4.87E-18;89;
BT_0152;NZ_DS996440.1 Parabacteroides johnsonii DSM 18315 Scfld0, whole genome shotgun sequence;27.586;232;147;8;16;231;32532;31852;1.83E-17;87.4;
BT_0152;NZ_EQ973490.1 Bacteroides cellulosilyticus DSM 14838 Scfld4, whole genome shotgun sequence;27.437;277;143;8;24;271;549900;549157;5.77E-15;80.1;
BT_0152;NZ_EQ973490.1 Bacteroides cellulosilyticus DSM 14838 Scfld4, whole genome shotgun sequence;25.632;277;147;9;22;269;1229254;1228514;4.86E-12;71.2;
BT_0152;NZ_EQ973490.1 Bacteroides cellulosilyticus DSM 14838 Scfld4, whole genome shotgun sequence;30.088;226;122;9;39;248;1339191;1338574;6.46E-10;65.1;
BT_0152;NZ_EQ973490.1 Bacteroides cellulosilyticus DSM 14838 Scfld4, whole genome shotgun sequence;23.75;240;155;8;39;268;1228123;1227458;2.14E-07;57.4;
BT_0152;NZ_EQ973490.1 Bacteroides cellulosilyticus DSM 14838 Scfld4, whole genome shotgun sequence;28.481;158;94;4;39;180;1340362;1339898;3.83E-07;56.6;
BT_0152;NZ_EQ973490.1 Bacteroides cellulosilyticus DSM 14838 Scfld4, whole genome shotgun sequence;26;150;95;3;39;172;1351952;1351503;8.66E-07;55.5;
BT_0152;NZ_ATFI01000001.1 Bacteroides cellulosilyticus WH2 BWH2c1, whole genome shotgun sequence;27.437;277;143;8;24;271;437645;436902;8.80E-15;79.3;
BT_0152;NZ_ATFI01000001.1 Bacteroides cellulosilyticus WH2 BWH2c1, whole genome shotgun sequence;26;150;95;3;39;172;1152160;1151711;9.49E-07;55.5;
BT_0152;NZ_GG667608.1 Hungatella hathewayi DSM 13479 Scfld1, whole genome shotgun sequence;24.096;249;157;7;37;259;95881;95153;2.03E-14;78.2;
BT_0152;NZ_GG667608.1 Hungatella hathewayi DSM 13479 Scfld1, whole genome shotgun sequence;20.4;250;174;5;29;256;95064;94324;1.77E-10;66.6;
BT_0152;QEKH01000010.1 Victivallis vadensis strain DSM 14823 Ga0215691_110, whole genome shotgun sequence;26.316;228;157;6;47;266;10220;9546;1.48E-13;75.9;
BT_0152;NZ_MTWC01000003.1 Clostridioides difficile strain 20120014 scaffold00003, whole genome shotgun sequence;29.469;207;135;5;58;256;2304288;2303677;2.24E-13;75.1;
BT_0152;NZ_MTWE01000004.1 Clostridioides difficile strain 20120183 scaffold00004, whole genome shotgun sequence;28.986;207;136;5;58;256;2075445;2074834;3.78E-13;74.7;
BT_0152;NZ_MTWD01000001.1 Clostridioides difficile strain 20120020 scaffold00001, whole genome shotgun sequence;28.986;207;136;5;58;256;2346466;2345855;4.34E-13;74.3;
BT_0152;NZ_DS499653.1 Erysipelatoclostridium ramosum DSM 1402 Scfld_02_4, whole genome shotgun sequence;24.096;249;164;6;31;259;194977;194246;7.87E-13;73.6;
BT_0152;NZ_ABJL02000007.1 Bacteroides intestinalis DSM 17393 B_intestinalis-2.0.1_Cont606, whole genome shotgun sequence;26.277;274;147;9;23;269;250216;250953;1.43E-11;69.7;
BT_0152;NZ_ABJL02000007.1 Bacteroides intestinalis DSM 17393 B_intestinalis-2.0.1_Cont606, whole genome shotgun sequence;25.417;240;151;8;39;268;251344;252009;1.44E-08;60.8;
BT_0152;NZ_ABJL02000007.1 Bacteroides intestinalis DSM 17393 B_intestinalis-2.0.1_Cont606, whole genome shotgun sequence;26.667;150;94;4;39;172;167594;168043;1.77E-07;57.4;
BT_0152;NZ_DS996921.1 [Bacteroides] pectinophilus ATCC 43243 Scfld_02_1, whole genome shotgun sequence;27.65;217;126;9;57;259;1565959;1566558;8.50E-11;67.4;
BT_0152;NZ_DS607663.1 Providencia stuartii ATCC 25827 Scfld_02_30, whole genome shotgun sequence;23.387;248;157;9;18;243;1086289;1086999;1.23E-10;67;
BT_0152;NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome;25.856;263;150;11;31;271;3900130;3899411;2.50E-10;66.2;
BT_0152;NZ_DS362233.1 Bacteroides uniformis ATCC 8492 Scfld_3.0.1_16, whole genome shotgun sequence;24.719;267;152;8;31;271;74458;73727;3.69E-10;65.5;
BT_0152;NZ_DS995511.1 Bacteroides eggerthii DSM 20697 Scfld3, whole genome shotgun sequence;26.512;215;127;6;57;263;708500;707925;6.48E-08;58.9;
BT_0152;NZ_DS995511.1 Bacteroides eggerthii DSM 20697 Scfld3, whole genome shotgun sequence;27.211;147;93;3;39;171;707389;706949;7.92E-08;58.5;
BT_0152;NZ_GG705264.1 Providencia rettgeri DSM 1131 Scfld2, whole genome shotgun sequence;25.306;245;147;10;18;238;106848;106150;6.84E-08;58.9;
BT_0152;NZ_ABJL02000001.1 Bacteroides intestinalis DSM 17393 B_intestinalis-2.0.1_Cont552, whole genome shotgun sequence;30.065;153;98;3;24;168;92931;93386;7.42E-08;58.5;
BT_0152;NZ_GG667610.1 Hungatella hathewayi DSM 13479 Scfld3, whole genome shotgun sequence;23.75;240;155;8;45;266;17497;18186;8.26E-08;58.5;
BT_0152;NZ_ATFI01000006.1 Bacteroides cellulosilyticus WH2 BWH2c6, whole genome shotgun sequence;30.065;153;98;3;24;168;51099;51554;8.52E-08;58.5;
BT_0152;NZ_EQ973489.1 Bacteroides cellulosilyticus DSM 14838 Scfld3, whole genome shotgun sequence;30.065;153;98;3;24;168;600373;600828;9.42E-08;58.5;
BT_0152;NZ_GG692718.1 Roseburia intestinalis L1-82 Scfld5, whole genome shotgun sequence;31.169;154;88;6;30;171;47376;46933;9.49E-08;58.5;
BT_0152;CVOZ01000324.1 Bacteroides thetaiotaomicron genome assembly 7330, contig 7330contig222.1, whole genome shotgun sequence;25.778;225;122;7;57;255;70;687;7.05E-07;54.3;
BT_0152;NZ_DS264269.1 Eubacterium ventriosum ATCC 27560 Scfld027, whole genome shotgun sequence;27.528;178;103;7;39;200;37509;38012;7.68E-07;55.5;
BT_0217;NZ_CVOY01000066.1 Bacteroides thetaiotaomicron isolate 3731, whole genome shotgun sequence;100;200;0;0;1;200;9741;10340;3.13E-130;408;
BT_0217;CVOZ01000058.1 Bacteroides thetaiotaomicron genome assembly 7330, contig 7330contig3.5, whole genome shotgun sequence;100;200;0;0;1;200;139616;140215;3.14E-130;408;
BT_0217;NZ_PUEO01000014.1 Bacteroides thetaiotaomicron strain VPI-5482 Bacteroides_thetaiotaomicron.1cell.HGAP3_contig14, whole genome shotgun sequence;100;200;0;0;1;200;2041862;2042461;3.14E-130;408;
BT_0217;NZ_AAVM02000004.1 Bacteroides caccae ATCC 43185 B_caccae-MSIQ_Cont60, whole genome shotgun sequence;85.5;200;29;0;1;200;286126;286725;8.07E-108;344;
BT_0217;NZ_PUEQ01000003.1 Bacteroides caccae strain ATCC 43185 Bacteroides_caccae.1cell.HGAP3_contig3, whole genome shotgun sequence;85.5;200;29;0;1;200;1764349;1763750;8.08E-108;344;
BT_0217;NZ_JH724294.1 Bacteroides xylanisolvens CL03T12C04 supercont1.1, whole genome shotgun sequence;88;200;24;0;1;200;1356697;1357296;2.93E-107;342;
BT_0217;NZ_DS264563.1 Bacteroides ovatus ATCC 8483 Scfld0210, whole genome shotgun sequence;85.5;200;29;0;1;200;4980;5579;1.19E-105;338;
BT_0217;NZ_PUEP01000005.1 Bacteroides ovatus strain ATCC 8483 Bacteroides_ovatus.1cell.HGAP3_contig5, whole genome shotgun sequence;85.5;200;29;0;1;200;2145744;2145145;1.19E-105;338;
BT_0217;NZ_GG688325.1 Bacteroides finegoldii DSM 17565 Scfld8, whole genome shotgun sequence;83;200;34;0;1;200;190680;191279;2.10E-105;337;
BT_0217;NZ_EQ973488.1 Bacteroides cellulosilyticus DSM 14838 Scfld2, whole genome shotgun sequence;86.224;196;27;0;5;200;180842;180255;3.19E-103;331;
BT_0217;NZ_ATFI01000002.1 Bacteroides cellulosilyticus WH2 BWH2c2, whole genome shotgun sequence;85.714;196;28;0;5;200;82757;82170;4.30E-102;327;
BT_0217;NZ_ABJL02000008.1 Bacteroides intestinalis DSM 17393 B_intestinalis-2.0.1_Cont607, whole genome shotgun sequence;84.694;196;30;0;5;200;1732043;1731456;6.87E-101;324;
BT_0217;JGCP01002512.1 Bacteroides fragilis str. 3397 T10 gbf3397T10.contig.2558, whole genome shotgun sequence;74.5;200;51;0;1;200;11361;10762;1.24E-100;323;
BT_0217;NZ_UFTH01000001.1 Bacteroides fragilis strain NCTC9343, whole genome shotgun sequence;74;200;52;0;1;200;250655;250056;2.32E-100;322;
BT_0217;NZ_JGDE01000119.1 Bacteroides fragilis str. DS-208 gbfDS208.contig.119, whole genome shotgun sequence;73.5;200;53;0;1;200;11369;10770;7.15E-100;321;
BT_0217;NZ_DS264527.1 Parabacteroides merdae ATCC 43184 Scfld0267, whole genome shotgun sequence;64.824;199;67;3;1;198;217241;217831;1.35E-72;243;
BT_0217;NC_009615.1 Parabacteroides distasonis ATCC 8503, complete genome;61.257;191;72;2;11;200;4480120;4479551;6.55E-72;241;
BT_0217;NZ_DS996456.1 Parabacteroides johnsonii DSM 18315 Scfld16, whole genome shotgun sequence;67.059;170;54;2;11;180;597619;598122;1.29E-61;211;
BT_0217;NC_010655.1 Akkermansia muciniphila ATCC BAA-835, complete genome;52.736;201;73;4;2;200;306289;306831;3.99E-56;196;
BT_0217;NC_010655.1 Akkermansia muciniphila ATCC BAA-835, complete genome;38.191;199;119;3;1;198;905733;906320;7.91E-38;143;
BT_0217;NZ_JH370372.1 Alistipes indistinctus YIT 12060 supercont1.2, whole genome shotgun sequence;38.889;198;114;4;1;197;150396;149821;1.11E-35;137;
BT_0217;QEKH01000037.1 Victivallis vadensis strain DSM 14823 Ga0215691_137, whole genome shotgun sequence;40.488;205;102;4;1;200;41431;42000;4.75E-33;129;
BT_0445;CVOZ01000044.1 Bacteroides thetaiotaomicron genome assembly 7330, contig 7330contig2.1, whole genome shotgun sequence;100;366;0;0;1;366;36179;35082;0;766;
BT_0445;NZ_PUEO01000014.1 Bacteroides thetaiotaomicron strain VPI-5482 Bacteroides_thetaiotaomicron.1cell.HGAP3_contig14, whole genome shotgun sequence;100;366;0;0;1;366;2345451;2344354;0;766;
BT_0445;NZ_CVOY01000094.1 Bacteroides thetaiotaomicron isolate 3731, whole genome shotgun sequence;98.634;366;5;0;1;366;5257;4160;0;756;
BT_0445;NZ_ABJL02000008.1 Bacteroides intestinalis DSM 17393 B_intestinalis-2.0.1_Cont607, whole genome shotgun sequence;62.462;333;125;0;28;360;751517;750519;1.20E-141;449;
BT_0445;NZ_ATFI01000012.1 Bacteroides cellulosilyticus WH2 BWH2c13, whole genome shotgun sequence;61.862;333;127;0;28;360;225054;224056;1.26E-141;449;
BT_0445;NZ_EQ973492.1 Bacteroides cellulosilyticus DSM 14838 Scfld6, whole genome shotgun sequence;61.862;333;127;0;28;360;68742;69740;1.26E-141;449;
BT_0445;NZ_GG703857.1 Prevotella copri DSM 18205 Scfld5, whole genome shotgun sequence;31.025;361;238;7;7;358;120565;119489;8.77E-47;176;
BT_0445;NZ_GG693664.1 Lactobacillus reuteri CF48-3A SCAFFOLD1, whole genome shotgun sequence;30.573;157;89;5;135;291;69369;68959;3.74E-09;63.9;
BT_0445;NZ_ACCL02000009.1 Marvinbryantia formatexigens DSM 14469 B_formatexigens-1.0.1_Cont8.1, whole genome shotgun sequence;22.593;270;192;5;35;287;60051;59242;3.31E-08;61.2;
BT_0569;CVOZ01000053.1 Bacteroides thetaiotaomicron genome assembly 7330, contig 7330contig2.10, whole genome shotgun sequence;100;236;0;0;1;236;57335;56628;2.81E-158;490;
BT_0569;NZ_PUEO01000014.1 Bacteroides thetaiotaomicron strain VPI-5482 Bacteroides_thetaiotaomicron.1cell.HGAP3_contig14, whole genome shotgun sequence;100;236;0;0;1;236;2506871;2507578;2.83E-158;490;
BT_0569;NZ_PUEO01000014.1 Bacteroides thetaiotaomicron strain VPI-5482 Bacteroides_thetaiotaomicron.1cell.HGAP3_contig14, whole genome shotgun sequence;27.111;225;126;10;39;231;877155;877811;1.77E-07;56.6;
BT_0569;NZ_PUEO01000014.1 Bacteroides thetaiotaomicron strain VPI-5482 Bacteroides_thetaiotaomicron.1cell.HGAP3_contig14, whole genome shotgun sequence;29.148;223;124;10;40;231;838952;839611;4.88E-07;55.5;
BT_0569;NZ_CVOY01000005.1 Bacteroides thetaiotaomicron isolate 3731, whole genome shotgun sequence;100;235;0;0;2;236;209350;210054;2.09E-157;488;
BT_0569;NZ_DS264582.1 Bacteroides ovatus ATCC 8483 Scfld0229, whole genome shotgun sequence;85.043;234;35;0;3;236;46805;46104;5.29E-134;421;
BT_0569;NZ_PUEP01000005.1 Bacteroides ovatus strain ATCC 8483 Bacteroides_ovatus.1cell.HGAP3_contig5, whole genome shotgun sequence;85.043;234;35;0;3;236;917568;918269;5.29E-134;421;
BT_0569;NZ_GG688322.1 Bacteroides finegoldii DSM 17565 Scfld5, whole genome shotgun sequence;83.761;234;38;0;3;236;129507;130208;4.43E-131;412;
BT_0569;NZ_JH724294.1 Bacteroides xylanisolvens CL03T12C04 supercont1.1, whole genome shotgun sequence;83.761;234;37;1;3;236;2429590;2428892;9.08E-131;411;
BT_0569;NZ_JH724294.1 Bacteroides xylanisolvens CL03T12C04 supercont1.1, whole genome shotgun sequence;27.111;225;125;12;39;231;357558;358211;3.50E-07;55.8;
BT_0569;NZ_DS995510.1 Bacteroides eggerthii DSM 20697 Scfld2, whole genome shotgun sequence;79.487;234;48;0;3;236;656648;657349;4.21E-123;389;
BT_0569;NZ_JGDE01000136.1 Bacteroides fragilis str. DS-208 gbfDS208.contig.137, whole genome shotgun sequence;73.077;234;63;0;3;236;27192;27893;1.19E-112;359;
BT_0569;NZ_UFTH01000001.1 Bacteroides fragilis strain NCTC9343, whole genome shotgun sequence;73.077;234;63;0;3;236;1188601;1189302;1.20E-112;359;
BT_0569;NZ_UFTH01000001.1 Bacteroides fragilis strain NCTC9343, whole genome shotgun sequence;27.014;211;135;9;34;234;4050588;4051193;8.51E-09;60.8;
BT_0569;NZ_UFTH01000001.1 Bacteroides fragilis strain NCTC9343, whole genome shotgun sequence;26.108;203;136;7;31;230;2389555;2388980;4.36E-08;58.5;
BT_0569;JGCP01002552.1 Bacteroides fragilis str. 3397 T10 gbf3397T10.contig.2598, whole genome shotgun sequence;73.077;234;63;0;3;236;31062;31763;2.63E-112;358;
BT_0569;NZ_EQ973490.1 Bacteroides cellulosilyticus DSM 14838 Scfld4, whole genome shotgun sequence;69.231;234;72;0;3;236;916393;917094;6.15E-104;335;
BT_0569;NZ_EQ973490.1 Bacteroides cellulosilyticus DSM 14838 Scfld4, whole genome shotgun sequence;26.961;204;130;6;36;232;257437;258012;2.78E-09;62;
BT_0569;NZ_DS362220.1 Bacteroides uniformis ATCC 8492 Scfld_3.0.1_3, whole genome shotgun sequence;66.222;225;74;1;12;236;17220;16552;1.90E-94;307;
BT_0569;NZ_DS362220.1 Bacteroides uniformis ATCC 8492 Scfld_3.0.1_3, whole genome shotgun sequence;50.495;202;98;2;32;233;323305;322706;3.61E-61;212;
BT_0569;NZ_JH370372.1 Alistipes indistinctus YIT 12060 supercont1.2, whole genome shotgun sequence;53.465;202;88;3;27;228;98423;97836;5.56E-60;208;
BT_0569;NC_009615.1 Parabacteroides distasonis ATCC 8503, complete genome;47.186;231;116;3;6;236;1134973;1135647;5.62E-56;197;
BT_0569;NC_009615.1 Parabacteroides distasonis ATCC 8503, complete genome;30.806;211;102;14;49;224;3795095;3795700;3.50E-07;55.8;
BT_0569;NZ_AAYG02000020.1 [Ruminococcus] gnavus ATCC 29149 R_gnavus-1.0.1_Cont169, whole genome shotgun sequence;32.701;211;125;8;37;234;146634;146014;2.79E-19;91.7;
BT_0569;NZ_PUEL01000004.1 [Ruminococcus] gnavus ATCC 29149 Ruminococcus_gnavus.1cell.HGAP3_contig4, whole genome shotgun sequence;32.701;211;125;8;37;234;1632369;1631749;2.80E-19;91.7;
BT_0569;NC_009614.1 Bacteroides vulgatus ATCC 8482, complete genome;28.169;213;134;9;32;234;5100285;5099674;5.89E-13;73.2;
BT_0569;NZ_DS995531.1 Bacteroides dorei DSM 17855 Scfld3, whole genome shotgun sequence;28.169;213;134;9;32;234;447861;448472;1.66E-12;71.6;
BT_0569;QEKH01000033.1 Victivallis vadensis strain DSM 14823 Ga0215691_133, whole genome shotgun sequence;26.267;217;140;7;15;229;30181;29585;5.50E-10;64.3;
BT_0569;NZ_MTWE01000004.1 Clostridioides difficile strain 20120183 scaffold00004, whole genome shotgun sequence;28.643;199;118;7;55;236;1376453;1377028;7.20E-10;63.9;
BT_0569;NZ_ATFI01000001.1 Bacteroides cellulosilyticus WH2 BWH2c1, whole genome shotgun sequence;27.451;204;129;6;36;232;142540;143115;7.27E-10;63.9;
BT_0569;NZ_MTWC01000003.1 Clostridioides difficile strain 20120014 scaffold00003, whole genome shotgun sequence;28.141;199;119;7;55;236;1624066;1624641;4.74E-09;61.6;
BT_0569;NZ_MTWD01000001.1 Clostridioides difficile strain 20120020 scaffold00001, whole genome shotgun sequence;28.141;199;119;7;55;236;1671881;1672456;4.74E-09;61.6;
BT_0569;NZ_AAVM02000001.1 Bacteroides caccae ATCC 43185 B_caccae-MSIQ_Cont1321, whole genome shotgun sequence;28.655;171;109;6;56;221;1240752;1240264;6.44E-09;61.2;
BT_0569;NZ_PUEQ01000003.1 Bacteroides caccae strain ATCC 43185 Bacteroides_caccae.1cell.HGAP3_contig3, whole genome shotgun sequence;28.655;171;109;6;56;221;1529561;1529073;6.44E-09;61.2;
BT_0569;JGCP01002441.1 Bacteroides fragilis str. 3397 T10 gbf3397T10.contig.2487, whole genome shotgun sequence;26.882;186;123;6;54;234;9886;10419;8.41E-09;60.8;
BT_0569;NZ_JGDE01000072.1 Bacteroides fragilis str. DS-208 gbfDS208.contig.71, whole genome shotgun sequence;26.882;186;123;6;54;234;9365;9898;8.43E-09;60.8;
BT_0569;NZ_ABJL02000006.1 Bacteroides intestinalis DSM 17393 B_intestinalis-2.0.1_Cont604, whole genome shotgun sequence;26.238;202;130;6;36;230;363959;364528;1.66E-08;59.7;
BT_0569;NZ_DS362233.1 Bacteroides uniformis ATCC 8492 Scfld_3.0.1_16, whole genome shotgun sequence;25.98;204;132;6;36;232;68158;68733;5.08E-08;58.5;
BT_0569;NZ_JGDE01000017.1 Bacteroides fragilis str. DS-208 gbfDS208.contig.16, whole genome shotgun sequence;26.108;203;136;7;31;230;7446;6871;7.49E-08;57.8;
BT_0569;NZ_CVOY01000004.1 Bacteroides thetaiotaomicron isolate 3731, whole genome shotgun sequence;27.556;225;125;10;39;231;11055;11711;7.74E-08;57.8;
BT_0569;JGCP01002366.1 Bacteroides fragilis str. 3397 T10 gbf3397T10.contig.2410, whole genome shotgun sequence;26.108;203;136;7;31;230;7385;6810;8.61E-08;57.8;
BT_0569;CVOZ01000033.1 Bacteroides thetaiotaomicron genome assembly 7330, contig 7330contig1.8, whole genome shotgun sequence;27.111;225;126;10;39;231;61351;60695;1.76E-07;56.6;
BT_0569;CVOZ01000033.1 Bacteroides thetaiotaomicron genome assembly 7330, contig 7330contig1.8, whole genome shotgun sequence;29.148;223;124;10;40;231;99554;98895;4.87E-07;55.5;
BT_0569;QEKH01000001.1 Victivallis vadensis strain DSM 14823 Ga0215691_101, whole genome shotgun sequence;28.431;204;118;8;50;231;111269;110676;1.92E-07;56.6;
BT_0569;NZ_CVOY01000007.1 Bacteroides thetaiotaomicron isolate 3731, whole genome shotgun sequence;29.148;223;124;10;40;231;27372;26713;4.88E-07;55.5;
